City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
71,Arraial Do Cabo,BR,80.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
72,Qinzhou,CN,69.19,light rain,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
73,Chumphon,TH,78.91,broken clouds,10.3333,98.8333,สกาน จ๋า.
74,Lorengau,PG,81.88,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
75,Parbhani,IN,73.26,clear sky,19.2667,76.7833,City Palace
76,Saint-Philippe,RE,79.48,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
77,Jacksonville,US,70.99,thunderstorm,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
78,Namatanai,PG,80.82,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
79,Jalu,LY,83.75,broken clouds,29.0331,21.5482,صاحبة الفخامة
80,Cairns,AU,73.11,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
81,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
82,Ios,GR,67.91,clear sky,36.7333,25.2833,Ios Palace Hotel & Spa
83,Wad Madani,SD,99.3,few clouds,14.4012,33.5199,فندق يوغسلافيا
84,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
85,Bellavista,PE,76.48,broken clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
86,Maraa,BR,75.97,overcast clouds,-1.8333,-65.3667,
87,Ixtapa,MX,72.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
88,Champerico,GT,81.36,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
89,Bajil,YE,91.62,clear sky,15.0584,43.2851,فندق حضرموت
90,Cururupu,BR,84.04,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
91,Richards Bay,ZA,74.05,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
92,Bonthe,SL,85.35,light rain,7.5264,-12.505,Bonthe Holiday Village
93,Sungaipenuh,ID,67.24,overcast clouds,-2.0833,101.3833,penginapan citra alam
94,Kaohsiung,TW,80.04,broken clouds,22.6163,120.3133,御宿商旅-中山館
95,Bengkulu,ID,79.29,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
96,Ron Phibun,TH,82.09,overcast clouds,8.1791,99.8542,Villa One Homestay&Camping
97,Ribeira Grande,PT,70.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
98,Moron,AR,89.49,light rain,-34.6534,-58.6198,Hotel Morón
99,Pochutla,MX,75.02,clear sky,15.7432,-96.4661,Hotel Posada San Jose
100,Pa Sang,TH,79.0,broken clouds,18.5262,98.9394,โรงแรม จามจุรี 99
101,Samana,DO,77.22,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
102,Gat,IL,85.41,overcast clouds,31.61,34.7642,OlusHome
103,Simpang,ID,75.79,moderate rain,-1.2667,104.0833,
104,Camana,PE,68.14,scattered clouds,-16.6228,-72.7111,Hostal Morales
105,Saint-Georges,GD,85.68,haze,12.0564,-61.7485,Radisson Grenada Beach Resort
106,Charters Towers,AU,70.5,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
107,Sume,BR,85.78,scattered clouds,-7.6717,-36.88,Pousada Sumé ll
108,Papetoai,PF,78.39,overcast clouds,-17.4961,-149.8729,Fare Vaihere
109,Gokak,IN,77.74,overcast clouds,16.1667,74.8333,Basaveshwar Sabha Bhavan
110,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
111,Barabai,ID,75.47,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
112,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
113,Samfya,ZM,89.85,broken clouds,-11.3649,29.5565,Chita Lodge Samfya
114,Chuy,UY,76.87,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
115,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
116,Riohacha,CO,80.29,overcast clouds,11.5444,-72.9072,Hotel Taroa
117,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
118,Poum,NC,75.34,few clouds,-20.2333,164.0167,Gîte kajeon
119,Alice Springs,AU,81.95,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
120,Sampang,ID,84.15,overcast clouds,-7.1872,113.2394,sekretariat IKA STAIN
121,San Vicente,AR,80.78,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
122,Margate,GB,65.03,clear sky,51.3813,1.3862,Premier Inn Margate hotel
123,Ferrol,ES,66.27,light rain,43.4832,-8.2369,Parador de Ferrol
124,Tambacounda,SN,89.65,clear sky,13.7539,-13.7586,
125,Meulaboh,ID,79.48,overcast clouds,4.1363,96.1285,Kost Pria
126,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
127,Moissala,TD,93.51,broken clouds,8.3404,17.7663,
128,Sal Rei,CV,84.4,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
129,Ponta Do Sol,PT,77.0,scattered clouds,32.6667,-17.1,Hotel do Campo
130,Menongue,AO,73.58,light rain,-14.6585,17.691,Ritz Lauca
131,Vanimo,PG,79.18,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
132,Tukrah,LY,76.68,clear sky,32.5341,20.5791,Lagrota restaurant
133,Paka,MY,76.93,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
